性别,年龄范围,职业,是否使用香水,使用场合,偏好香型,购买渠道,是否接受网络购买,网购看重因素,月均香水消费,使用频率,是否愿意亲自调配香水
男,18-24岁,自由职业,是,工作场合,"水果香, 花香","朋友推荐, 专卖店",是,"用户评价, 产品成分",300-500元,每周,B 值得一试
女,25-34岁,上班族,是,日常生活,"木质香, 花香","实体店, 其他",是,"产品成分, 价格",100元以下,每周,C 无所谓
女,25-34岁,自由职业,是,"其他, 日常生活","水果香, 木质香, 香草香",在线商城,是,"用户评价, 其他, 品牌",100元以下,每周,A 非常愿意
女,25-34岁,上班族,是,工作场合,香草香,"其他, 朋友推荐",是,"用户评价, 其他",100-300元,每月,B 值得一试
男,18-24岁,其他,是,"聚会活动, 日常生活","花香, 水果香","在线商城, 专卖店",是,"其他, 价格, 用户评价",100-300元,每天,A 非常愿意
男,18-24岁,学生,是,"休闲放松, 工作场合, 其他","香草香, 花香",专卖店,是,"产品成分, 用户评价",500元以上,每周,B 值得一试
男,25-34岁,上班族,是,"日常生活, 工作场合",香草香,其他,是,"品牌, 用户评价, 其他",300-500元,每周,B 值得一试
男,25-34岁,上班族,否,工作场合,"清新香, 木质香",在线商城,是,"产品成分, 用户评价, 其他",100元以下,每月,B 值得一试
女,18-24岁,退休,否,"工作场合, 休闲放松, 聚会活动","香草香, 木质香",朋友推荐,否,"价格, 产品成分",100元以下,每天,A 非常愿意
男,18-24岁,自由职业,是,其他,"香草香, 清新香","其他, 实体店",是,"品牌, 产品成分, 其他",300-500元,偶尔使用,A 非常愿意
女,18-24岁,学生,否,工作场合,香草香,"其他, 实体店",是,"品牌, 其他",100元以下,每月,A 非常愿意
男,18-24岁,自由职业,是,"日常生活, 工作场合, 休闲放松",花香,"专卖店, 朋友推荐",是,"用户评价, 其他",100元以下,每天,A 非常愿意
女,25-34岁,自由职业,是,"其他, 休闲放松, 工作场合",木质香,实体店,是,"品牌, 价格, 用户评价",100-300元,每天,A 非常愿意
男,25-34岁,自由职业,是,其他,"水果香, 木质香",实体店,是,"价格, 产品成分",100元以下,每天,B 值得一试
男,25-34岁,学生,是,"日常生活, 其他","木质香, 花香","其他, 朋友推荐",是,"产品成分, 用户评价, 其他",100元以下,偶尔使用,A 非常愿意
女,25-34岁,学生,是,"工作场合, 日常生活, 聚会活动",水果香,在线商城,否,"产品成分, 用户评价",100-300元,偶尔使用,B 值得一试
女,25-34岁,学生,是,聚会活动,"香草香, 花香","实体店, 专卖店",是,"产品成分, 其他",100-300元,每月,C 无所谓
女,35-44岁,上班族,是,"日常生活, 其他","清新香, 花香",专卖店,否,"产品成分, 用户评价, 价格",100-300元,每周,B 值得一试
男,18-24岁,学生,是,"休闲放松, 聚会活动, 日常生活","香草香, 花香, 水果香",实体店,是,"产品成分, 价格, 其他",300-500元,每周,B 值得一试
男,18-24岁,自由职业,是,"其他, 休闲放松","花香, 香草香",朋友推荐,是,"用户评价, 品牌",100元以下,每周,B 值得一试
男,35-44岁,上班族,是,"休闲放松, 日常生活","木质香, 香草香, 清新香","专卖店, 朋友推荐",是,"品牌, 产品成分, 价格",300-500元,每周,B 值得一试
男,25-34岁,学生,是,休闲放松,"木质香, 清新香","实体店, 朋友推荐",是,"价格, 产品成分",100-300元,每天,B 值得一试
女,35-44岁,上班族,是,日常生活,"香草香, 水果香",朋友推荐,是,"产品成分, 品牌",100-300元,每天,B 值得一试
男,45岁及以上,学生,是,休闲放松,"木质香, 花香, 清新香","其他, 实体店",是,"产品成分, 品牌, 用户评价",100-300元,每月,A 非常愿意
女,18-24岁,学生,是,工作场合,木质香,在线商城,是,"用户评价, 品牌, 产品成分",100-300元,每月,C 无所谓
男,18-24岁,退休,是,工作场合,"水果香, 花香",实体店,是,"价格, 品牌",300-500元,每周,B 值得一试
女,25-34岁,学生,是,"日常生活, 聚会活动","香草香, 花香, 水果香",在线商城,是,"其他, 价格, 产品成分",100-300元,每月,B 值得一试
男,25-34岁,上班族,是,"聚会活动, 日常生活, 休闲放松","水果香, 香草香","实体店, 专卖店",是,"品牌, 用户评价",100-300元,每月,C 无所谓
女,18-24岁,学生,是,"日常生活, 工作场合",香草香,朋友推荐,是,"品牌, 其他, 用户评价",100元以下,每月,A 非常愿意
女,18-24岁,上班族,是,"聚会活动, 其他",香草香,"朋友推荐, 在线商城",是,"价格, 用户评价, 产品成分",100元以下,每天,A 非常愿意
女,35-44岁,学生,是,休闲放松,木质香,其他,是,"品牌, 用户评价, 产品成分",100-300元,每天,D 不想
女,18-24岁,学生,是,"日常生活, 其他, 聚会活动",清新香,"其他, 在线商城",是,"其他, 价格, 产品成分",100元以下,偶尔使用,A 非常愿意
女,18-24岁,其他,是,"日常生活, 工作场合, 其他","花香, 香草香, 清新香",在线商城,是,"品牌, 产品成分, 用户评价",100-300元,每周,A 非常愿意
女,45岁及以上,其他,是,"其他, 日常生活, 聚会活动","香草香, 清新香, 水果香",实体店,是,"价格, 产品成分, 用户评价",100-300元,每周,B 值得一试
女,18-24岁,上班族,是,工作场合,水果香,"专卖店, 实体店",是,"其他, 产品成分, 品牌",100-300元,每天,A 非常愿意
女,18-24岁,学生,是,"休闲放松, 聚会活动",花香,"朋友推荐, 实体店",是,"品牌, 价格, 其他",100元以下,每天,A 非常愿意
男,18-24岁,其他,是,"工作场合, 其他","木质香, 花香, 水果香",其他,是,"产品成分, 其他",300-500元,每周,B 值得一试
女,18-24岁,学生,是,"工作场合, 休闲放松","清新香, 水果香, 花香","专卖店, 实体店",是,"品牌, 其他",300-500元,每天,B 值得一试
男,18-24岁,上班族,是,"聚会活动, 休闲放松, 其他","水果香, 香草香, 花香","在线商城, 朋友推荐",否,"用户评价, 其他",100元以下,每周,A 非常愿意
男,25-34岁,上班族,是,"其他, 工作场合, 休闲放松","清新香, 花香, 香草香",专卖店,是,"价格, 产品成分, 其他",100元以下,每天,D 不想
女,18-24岁,学生,是,日常生活,花香,"实体店, 其他",是,"产品成分, 价格",100-300元,每月,A 非常愿意
女,25-34岁,上班族,是,休闲放松,"花香, 清新香",朋友推荐,是,"用户评价, 其他, 品牌",100元以下,每周,A 非常愿意
女,35-44岁,上班族,否,休闲放松,清新香,"在线商城, 朋友推荐",是,"用户评价, 产品成分",100-300元,每天,A 非常愿意
男,18-24岁,上班族,是,"其他, 聚会活动, 休闲放松",木质香,"在线商城, 其他",是,"其他, 价格, 品牌",300-500元,每天,B 值得一试
女,18-24岁,学生,是,"日常生活, 其他","木质香, 清新香, 花香",实体店,是,"用户评价, 产品成分, 价格",100-300元,偶尔使用,A 非常愿意
女,18岁以下,上班族,是,"工作场合, 其他, 聚会活动","清新香, 水果香",实体店,是,"价格, 品牌, 其他",100元以下,每月,C 无所谓
女,18-24岁,学生,是,"聚会活动, 工作场合","花香, 水果香",实体店,是,"其他, 用户评价, 价格",100元以下,偶尔使用,A 非常愿意
男,35-44岁,学生,是,"其他, 日常生活, 休闲放松","清新香, 花香, 水果香",朋友推荐,否,"品牌, 其他",100元以下,每天,B 值得一试
女,18-24岁,退休,是,日常生活,"花香, 木质香, 水果香",专卖店,是,"品牌, 其他, 价格",100-300元,每月,C 无所谓
男,18-24岁,学生,是,日常生活,"花香, 木质香, 香草香","其他, 专卖店",是,"其他, 产品成分, 价格",100元以下,每周,A 非常愿意
男,18-24岁,上班族,是,"工作场合, 日常生活, 休闲放松",清新香,"朋友推荐, 实体店",是,"产品成分, 用户评价",100-300元,每天,D 不想
女,18-24岁,学生,否,"日常生活, 聚会活动","清新香, 花香",在线商城,是,"产品成分, 价格, 用户评价",100元以下,偶尔使用,D 不想
女,35-44岁,学生,是,"聚会活动, 其他",清新香,"在线商城, 实体店",是,"价格, 产品成分",100-300元,每周,B 值得一试
女,18-24岁,上班族,是,日常生活,"花香, 木质香",朋友推荐,是,"价格, 品牌, 用户评价",100-300元,每天,C 无所谓
男,25-34岁,学生,是,工作场合,"木质香, 清新香, 花香",在线商城,是,"其他, 用户评价",500元以上,每周,A 非常愿意
女,35-44岁,学生,是,"日常生活, 其他, 工作场合","花香, 香草香, 水果香","实体店, 其他",是,"产品成分, 品牌, 价格",100元以下,每周,B 值得一试
女,18-24岁,学生,是,"其他, 聚会活动, 日常生活","水果香, 香草香","实体店, 在线商城",否,"用户评价, 其他, 品牌",100-300元,偶尔使用,B 值得一试
女,45岁及以上,学生,是,"其他, 休闲放松",木质香,"在线商城, 专卖店",是,"用户评价, 价格, 产品成分",100元以下,每周,B 值得一试
女,18-24岁,学生,是,"其他, 聚会活动, 日常生活","花香, 水果香",专卖店,否,"其他, 品牌, 价格",100-300元,每月,A 非常愿意
男,18-24岁,学生,否,休闲放松,"水果香, 香草香",专卖店,是,"价格, 其他",100元以下,每周,B 值得一试
男,25-34岁,上班族,是,日常生活,香草香,"专卖店, 实体店",是,"品牌, 价格",100-300元,每天,A 非常愿意
女,18-24岁,自由职业,是,"日常生活, 聚会活动, 休闲放松",水果香,"朋友推荐, 其他",是,"价格, 品牌",100元以下,每月,D 不想
男,35-44岁,学生,是,"工作场合, 聚会活动","木质香, 清新香, 香草香",实体店,是,"用户评价, 价格, 品牌",100-300元,每月,A 非常愿意
男,25-34岁,自由职业,否,"休闲放松, 日常生活, 其他","水果香, 木质香","在线商城, 其他",是,"价格, 用户评价",100元以下,偶尔使用,A 非常愿意
女,25-34岁,学生,否,"聚会活动, 其他","香草香, 木质香, 清新香","实体店, 在线商城",是,"品牌, 用户评价, 产品成分",100-300元,每周,A 非常愿意
女,18-24岁,上班族,是,"聚会活动, 休闲放松, 其他","木质香, 香草香","在线商城, 其他",是,"其他, 价格",100-300元,每月,A 非常愿意
男,25-34岁,学生,是,"聚会活动, 休闲放松, 其他","水果香, 木质香, 清新香","在线商城, 实体店",是,"价格, 其他, 用户评价",100-300元,每周,B 值得一试
女,25-34岁,上班族,是,"日常生活, 聚会活动, 工作场合","花香, 木质香","专卖店, 实体店",是,"用户评价, 产品成分, 价格",100元以下,偶尔使用,B 值得一试
女,18-24岁,其他,是,"其他, 日常生活","花香, 香草香","在线商城, 其他",是,"品牌, 价格, 产品成分",100-300元,偶尔使用,A 非常愿意
女,25-34岁,上班族,是,"其他, 休闲放松",木质香,"在线商城, 朋友推荐",是,"价格, 用户评价, 其他",100-300元,每周,A 非常愿意
女,25-34岁,学生,是,"其他, 工作场合",花香,"在线商城, 朋友推荐",是,"价格, 品牌",100-300元,偶尔使用,A 非常愿意
男,18-24岁,上班族,是,"聚会活动, 其他",清新香,朋友推荐,是,"品牌, 产品成分",100-300元,每周,A 非常愿意
男,18-24岁,学生,是,工作场合,"木质香, 花香",其他,是,"其他, 价格",500元以上,偶尔使用,A 非常愿意
男,45岁及以上,上班族,是,"日常生活, 聚会活动",水果香,专卖店,是,"品牌, 其他",300-500元,偶尔使用,C 无所谓
男,25-34岁,学生,否,"工作场合, 休闲放松","花香, 木质香, 香草香","实体店, 其他",是,"产品成分, 其他, 用户评价",100元以下,每周,A 非常愿意
女,35-44岁,上班族,是,日常生活,"水果香, 花香","在线商城, 朋友推荐",是,"其他, 产品成分, 品牌",100-300元,每周,C 无所谓
女,18岁以下,学生,是,休闲放松,木质香,实体店,是,"价格, 品牌, 其他",100元以下,每天,A 非常愿意
女,18-24岁,自由职业,是,休闲放松,"水果香, 花香, 香草香","实体店, 在线商城",是,"用户评价, 产品成分, 品牌",100-300元,每周,B 值得一试
女,18-24岁,学生,是,工作场合,花香,朋友推荐,是,"品牌, 产品成分, 价格",100-300元,每周,B 值得一试
男,25-34岁,学生,是,"日常生活, 休闲放松, 其他","香草香, 花香, 木质香","实体店, 专卖店",是,"用户评价, 品牌",100-300元,每天,B 值得一试
男,25-34岁,上班族,是,"聚会活动, 工作场合",水果香,专卖店,是,"用户评价, 产品成分",100-300元,每月,A 非常愿意
女,25-34岁,上班族,是,其他,"水果香, 香草香, 木质香","专卖店, 其他",是,"其他, 价格, 产品成分",100-300元,每月,B 值得一试
女,18-24岁,学生,否,"聚会活动, 日常生活, 工作场合","花香, 香草香, 水果香",朋友推荐,是,"其他, 产品成分, 品牌",500元以上,每天,A 非常愿意
女,35-44岁,自由职业,是,"其他, 休闲放松, 工作场合","水果香, 木质香",其他,是,"价格, 其他, 品牌",100元以下,每天,B 值得一试
女,18-24岁,学生,是,"工作场合, 其他",香草香,"在线商城, 实体店",是,"产品成分, 其他",300-500元,每月,B 值得一试
男,18-24岁,学生,是,"日常生活, 聚会活动, 工作场合","香草香, 木质香",专卖店,是,"产品成分, 用户评价, 其他",300-500元,每周,A 非常愿意
女,18-24岁,自由职业,是,"日常生活, 休闲放松",水果香,在线商城,是,"用户评价, 其他",100-300元,每月,C 无所谓
男,35-44岁,上班族,是,"工作场合, 休闲放松, 其他",清新香,"实体店, 在线商城",是,"其他, 价格, 产品成分",100-300元,每天,B 值得一试
男,18-24岁,上班族,否,工作场合,"花香, 清新香, 水果香","实体店, 在线商城",是,"价格, 产品成分, 其他",100元以下,每周,B 值得一试
男,18-24岁,学生,否,"聚会活动, 其他","清新香, 花香, 水果香","专卖店, 实体店",是,"产品成分, 其他, 用户评价",100元以下,每周,A 非常愿意
女,18-24岁,上班族,是,"工作场合, 休闲放松",花香,"实体店, 朋友推荐",是,"价格, 产品成分, 品牌",100元以下,每周,B 值得一试
女,18-24岁,学生,是,"其他, 工作场合",清新香,"在线商城, 其他",是,"品牌, 价格",100-300元,每天,A 非常愿意
男,35-44岁,学生,是,"其他, 工作场合, 日常生活","清新香, 木质香",朋友推荐,是,"其他, 产品成分, 价格",300-500元,偶尔使用,A 非常愿意
女,18岁以下,学生,是,休闲放松,"木质香, 清新香",朋友推荐,是,"其他, 品牌, 价格",100元以下,每天,C 无所谓
女,35-44岁,学生,是,聚会活动,花香,其他,是,"产品成分, 价格",100元以下,每周,A 非常愿意
男,18-24岁,上班族,是,"聚会活动, 工作场合",清新香,"朋友推荐, 在线商城",是,"品牌, 其他",100元以下,偶尔使用,B 值得一试
女,18-24岁,学生,是,"日常生活, 聚会活动, 休闲放松",水果香,"实体店, 朋友推荐",是,"品牌, 其他, 产品成分",100元以下,每周,D 不想
男,25-34岁,上班族,是,"工作场合, 聚会活动, 日常生活","木质香, 香草香, 清新香","专卖店, 实体店",是,"用户评价, 价格",100-300元,每天,B 值得一试
男,25-34岁,上班族,是,"休闲放松, 日常生活, 工作场合","水果香, 清新香, 木质香",其他,是,"价格, 产品成分, 用户评价",100元以下,每周,A 非常愿意
女,18-24岁,学生,是,"聚会活动, 日常生活, 休闲放松",水果香,"实体店, 朋友推荐",是,"其他, 产品成分",100-300元,每月,C 无所谓
